data inizio,data fine,costo
01/01/24,31/05/24,98
01/06/24,15/06/24,100
16/06/24,30/06/24,105
01/07/24,15/07/24,115
15/07/24,31/07/24,125
01/08/24,11/08/24,130
12/08/24,18/08/24,150
19/08/24,31/08/24,130
01/09/24,31/12/24,98
01/01/25,31/05/25,98
01/06/25,15/06/25,100
16/06/25,30/06/25,105
01/07/25,15/07/25,115
15/07/25,31/07/25,125
01/08/25,11/08/25,130
12/08/25,18/08/25,150
19/08/25,31/08/25,130
01/09/25,31/12/25,98
